region,number,question,optionA,optionB,optionC,optionD,correct answer
1,1,請問美國的政府體制為下列何者？,總統制,內閣制,雙首長制,以上皆非,A
2,2,請問下列何者為美國政府體制的特色？,總統向立法院負責,五權分立,可對總統提出不信任案,總統對國會有覆議權,D
3,3,請問日本的政府體制為下列何者？,總統制,內閣制,雙首長制,以上皆非,B
4,4,請問下列何者為日本政府體制的特色？,元首向人民負責,虛位元首,兩黨制,人民選舉國家元首,B
5,5,請問下列何者為新加坡的政黨特色？,多黨制,兩黨制,一黨獨大,一黨專政,C
6,6,請問高雄位於何種氣候帶？,溫帶季風氣候,地中海型氣候,溫帶海洋性氣候,熱帶季風氣候,D
7,7,請問台灣沒有下列何種地形？,盆地,台地,高原,平原,C
8,8,請問八部合音為下列哪個原住民族的特色？,布農族,卑南族,卡那卡那富族,阿美族,A
9,9,請問紐西蘭出口最多的產品為下列何者？,羊毛,牛乳,小麥,玉米,B
1,10,請問0度經線經過哪一座城市？,日本東京,美國華盛頓,美國紐約,英國倫敦,D
2,11,請問關於台灣的殖民時期，下列何者時間最早？,西班牙統治,日治時期,清領時期,鄭氏時期,A
3,12,請問下列國家何者未受過西方國家殖民？,菲律賓,越南,泰國,緬甸,C
4,13,請問潑水節為下列哪個國家的節日？,泰國,美國,韓國,印尼,A
5,14,請問亡靈節為下列哪個國家的節日？,智利,英國,西班牙,墨西哥,D
6,15,請問美國國籍取得是何種原則為主？,屬人原則,出生地原則,歸化取得,血統主義,B
7,16,請問關於南韓的敘述，下列何者正確？,有虛位元首,為副熱帶季風氣候,總統須對人民負責,為一黨專政,C
8,17,請問龜山島為下列何種島嶼？,火山島,珊瑚礁島,大陸島,人工島,A
9,18,請問下列哪個地區為地中海型氣候？,首爾,北京,新加坡,希臘,D
1,19,請問下列哪個地區位在赤道？,南非共和國,新加坡,新疆,平壤,B
2,20,請問下列哪個國家沒有虛位元首？,英國,日本,法國,泰國,C
3,21,請問英國的政體與國體為下列何者？,君主獨裁,民主共和,獨裁共和,君主立憲,D
4,22,請問北韓的政體與國體為下列何者？,君主獨裁,民主共和,獨裁共和,君主立憲,C
5,23,請問台灣總統的投票制度為下列何者？,比例代表,單一選區相對多數決,複數選區相對多數決,絕對多數決,B
6,24,請問台灣縣市議員的投票制度為下列何者？,複數選區相對多數決,絕對多數決,比例代表,單一選區相對多數決,A
7,25,請問美國選舉投票的特色為下列何者？,記名投票,直接投票制,採選舉人團票制,沒有不在籍投票制度,C
8,26,請問關於中國的政黨敘述何者正確？,為一黨獨大,除共產黨外，完全沒有其他政黨,有政黨輪替的可能,具有數個花瓶小黨,D
9,27,請問澳洲沒有何種氣候類型？,極地氣候,夏雨型暖溼氣候,熱帶雨林氣候,熱帶莽原氣候,A
1,28,請問菲律賓以何種宗教為主？,伊斯蘭教,天主教,猶太教,佛教,B
2,29,請問歐洲宗教改革後出現的教派，不包含下列何者？,喀爾文教派,猶太教,路德教派,英國國教派,B
3,30,請問下列哪個國家以天主教為主？,西班牙,德國,捷克,土耳其,A
4,31,請問被稱為印度矽谷的是下列哪一座城市？,孟加拉,孟買,邦加羅爾,加爾各答,C
5,32,請問被稱為千湖國的是下列哪個國家？,印度,挪威,瑞典,芬蘭,D
6,33,請問下列哪座城市是三大宗教的聖地？,耶路撒冷,麥加,雅典,漢堡,A
7,34,請問下列何者是台灣地形的特色？,河流長，流速慢,地狹人稠,人口密度低,河川多為南北流向,B
8,35,請問下列何者是中國地形的特色？,平原面積占比最高,地狹人稠,地勢西高東低,地勢呈兩級階梯狀,C
9,36,請問下列何者是澳洲地形的特色？,為年輕大陸塊,西部地勢最低,沒有沙漠地形,西部有高原地形,D
